super_opeid,name,par_q1,ktop1pc_cond_parq1,mr_ktop1_pq1,panel,row
1312,"University Of California, Berkeley",8.842337876558304,8.640043437480927,.7639818359166384,B,11
2707,Columbia University In The City Of New York,5.020812898874283,14.94435518980026,.7503281347453594,B,12
2178,Massachusetts Institute Of Technology,5.107873678207397,13.40793818235397,.684860534965992,B,13
1305,Stanford University,3.579520434141159,18.51455122232437,.6627321243286133,B,14
3370,Swarthmore College,4.653337597846985,13.01739066839218,.605743145570159,B,15
2077,Johns Hopkins University,3.670492768287659,14.69696909189224,.5394511856138706,B,16
2785,New York University,6.938542425632477,7.453771680593491,.5171831231564283,B,17
3378,University Of Pennsylvania,3.535334020853043,14.45815712213516,.5111441481858492,B,18
2711,Cornell University,4.897741228342056,10.35652160644531,.5072356201708317,B,19
1774,University Of Chicago ,4.304791614413261,11.52299642562866,.4960409831255674,B,20
