super_opeid,name,par_q1,kq5_cond_parq1,mr_kq5_pq1,panel,row
1140,"California State University, Los Angeles",33.11692774295807,29.9498051404953,9.9184550344944,A,1
2791,Pace University,15.17329216003418,55.57559132575989,8.432646840810776,A,2
2838,State University Of New York At Stony Brook,16.41662418842316,51.24529600143433,8.412747830152512,A,3
3599,University Of Texas - Pan American,38.70260119438171,19.76300925016403,7.648798823356628,A,4
9999,CUNY System,28.7286486297169,25.18515089075947,7.235353521805809,A,5
1203,Glendale Community College,32.35921263694763,21.88597321510315,7.082128524780273,A,6
31034,South Texas College,52.36069560050964,13.19542527198792,6.909216195344925,A,7
1144,"California State Polytechnic University, Pomona",14.92972075939178,45.77048122882843,6.833405047655106,A,8
3661,University Of Texas At El Paso,28.00137996673584,24.35862421989441,6.82075098156929,A,9
2823,"Saint John's University of Queens, NY",14.34363126754761,47.37946689128876,6.795936077833176,A,10
